RACV July 2022 guide re-run — transcribed by Claude direct from Racv book 22 Drive photos (full-res, rotated)
Session date: 2026-07-14
Columns: make,model,variant,year,heavy_duty_part,extra_heavy_duty_part,premium_part,agm_efb_part,comments,reg_required,page
VOLKSWAGEN,MULTIVAN,"2.0L, Petrol",2010 onward,,3554 3664,,5526 5536,,,142
VOLKSWAGEN,PASSAT,"B1, Diesel",1973 to 1982,,,3662,,,,142
VOLKSWAGEN,PASSAT,"B1, Petrol",1973 to 1982,,,3552,,,,142
VOLKSWAGEN,PASSAT,"B4, 2.0L, Petrol",1995 to 1997,,3372 5344,,,,,142
VOLKSWAGEN,PASSAT,"B4, 2.8L V6, VR6, Petrol",1995 to 1997,,3664,,5536,,,142
VOLKSWAGEN,PASSAT,"B5 (3B), 1.8L, Petrol",1998 to 2001,,3372 5344,,,,,142
VOLKSWAGEN,PASSAT,"B5 (3B), 2.8L V6, VR6, Petrol",1998 to 2001,,3664,,5536,,,142
VOLKSWAGEN,PASSAT,"B5 (3B), 2.8L V6, VR6, Petrol",2002 to 2006,,3664,,5536,,,142
VOLKSWAGEN,PASSAT,"B5 (3B), V5, Petrol",2002 to 2006,,3554,,5526,,,142
VOLKSWAGEN,PASSAT,"B5 (3B), W8, V8, Petrol",2002 to 2006,,,3772,5556,,,142
VOLKSWAGEN,PASSAT,"2.0L TDI, Diesel",2006 to 2008,,3664,,5536,,,142
--- page 142 row count: 30 (dense page, photo verified top-to-bottom) ---

=== PAGE 141 ===
VOLKSWAGEN,EOS,"1F, TDI, Diesel",2010 onward,,3554 3664,,5526 5536,,Yes,141
VOLKSWAGEN,GOLF,Diesel,1974 to 1998,,3664,,5536,,,141
VOLKSWAGEN,GOLF,Petrol,1974 to 1998,,3372 5344,,,,,141
VOLKSWAGEN,GOLF,"VR6, V6, Petrol",1974 to 1998,,3554,,5526,,,141
VOLKSWAGEN,GOLF,"1.6L, Petrol",1998 to 2004,,3554 3664,,5526 5536,,,141
VOLKSWAGEN,GOLF,"1.8L, 2.0L, Petrol",1998 to 2004,,3554 3664,,5526 5536,,,141
VOLKSWAGEN,GOLF,"1K, 1.6L, Petrol",2004 to 2008,,3554 3664,,5526 5536,,,141
VOLKSWAGEN,GOLF,"1K, 2.0L FSI, Petrol",2004 to 2008,,3664,,5536,,,141
VOLKSWAGEN,GOLF,"1K, GT, 1.4L, Petrol",2004 to 2008,,3372 5344,,,,,141
VOLKSWAGEN,GOLF,"1K, GT, TDI, Diesel",2004 to 2008,,3664,,5536,,,141
VOLKSWAGEN,GOLF,"1K, GTI, 2.0L, Petrol",2004 to 2008,,3664,,5536,,,141
VOLKSWAGEN,GOLF,"1K, R32, V6, Petrol",2004 to 2008,,,3772,5556,Battery under plate in boot.,,141
VOLKSWAGEN,GOLF,"1K, TDI, Diesel",2004 to 2008,,3664,,5536,,,141
VOLKSWAGEN,GOLF,"1C, 2Door Cabriolet TSI, Petrol",2009 to 2013,,3554 3664,,5526 5536,Stop Start variants must use AGM.,,141
VOLKSWAGEN,GOLF,"1K, 1.2L, 1.4L, TSI, Petrol",2009 to 2013,,3554 3664,,5526 5536,,Yes,141
VOLKSWAGEN,GOLF,"1K, 1.6L, Petrol",2009 to 2013,,3554,,5526,,,141
VOLKSWAGEN,GOLF,"1K, 2.0L FSI, Petrol",2009 to 2013,,3664,,5536,,,141
VOLKSWAGEN,GOLF,"1K, Bluemotion, TDI, Diesel",2009 to 2013,,,,5536,"Stop Start, must use AGM. Variants with no current sensor do not require battery registration.",Yes,141
VOLKSWAGEN,GOLF,"1K, GT, 1.4L, Petrol",2009 to 2013,,3372 5344,,,,,141
VOLKSWAGEN,GOLF,"1K, GT, TDI, Diesel",2009 to 2013,,3664,,5536,,,141
VOLKSWAGEN,GOLF,"1K, GTD, Diesel",2009 to 2013,,3554 3664,,5526 5536,Variants without current sensor do not require battery registration.,Yes,141
VOLKSWAGEN,GOLF,"1K, R, GTI, 2.0L, Petrol",2009 to 2013,,3554 3664,,5526 5536,Variants without current sensor do not require battery registration.,Yes,141
VOLKSWAGEN,GOLF,"1K, R32, 3.2L, V6, Petrol",2009 to 2013,,,3772,5556,Battery under plate in boot.,,141
VOLKSWAGEN,GOLF,"1K, TDI, Diesel",2009 to 2013,,3554 3664,,5526 5536,Variants without current sensor do not require battery registration.,Yes,141
VOLKSWAGEN,GOLF,"1K, TSI, Petrol",2009 to 2013,,3554 3664,,5526 5536,,Yes,141
VOLKSWAGEN,GOLF,"1C, 2D Cabriolet, Petrol",2013 to 2017,,3554 3664,,5526 5536,Stop Start variants must use AGM.,Yes,141
VOLKSWAGEN,GOLF,"AU, R, GTI, Petrol",2013 to 2017,,,,4036,"Stop Start, must use EFB.",Yes,141
--- page 141 row count: 27 (matches hand-verified count from brief) ---

=== PAGE 137 ===
TOYOTA,LITE ACE,All variants,1980 to 1992,,,2383,,,,137
TOYOTA,MIRAI,HCV,2014 onward,,,,5511,Must use AGM.,,137
TOYOTA,MR2,All other variants,1987 to 2004,,,2136,,,,137
TOYOTA,MR2,"SW20R, 2.0L",1987 to 2004,,4504,,,,,137
TOYOTA,PASEO,All variants,1991 to 1996,,2501 5375,2541,,,,137
TOYOTA,PORTE,"1.5L, Petrol, Grey import",2004 to 2012,,,2138,,,,137
TOYOTA,PRIUS,"Prius, NHW11, Hybrid",2001 to 2003,,,,,Refer to OEM Dealer.,,137
TOYOTA,PRIUS,"Prius, NHW20, i-TECH, Hybrid",2003 to 2009,,,,5511,Must use AGM. Battery in boot.,,137
TOYOTA,PRIUS,"Prius, VW30, i-TECH, Hybrid",2009 to 2012,,,,5511,Must use AGM. Battery in boot.,,137
TOYOTA,PRIUS,"Prius C, HP10, i-TECH, Hybrid",2012 to 2016,,,,,2341 is locally sourced.,,137
TOYOTA,PRIUS,"Prius V, VW40, i-TECH, Hybrid",2012 to 2016,,,,5511,Must use AGM. Battery in boot.,,137
TOYOTA,PRIUS,"Prius, VW30, i-TECH, Hybrid",2012 to 2016,,,,5511,Must use AGM. Battery in boot.,,137
TOYOTA,PRIUS,"Prius V, VW40, i-TECH, Hybrid",2016 onward,,,,5511,Must use AGM. Battery in boot.,,137
TOYOTA,PRIUS,"Prius, VW50, i-TECH, Hybrid",2016 onward,,5344,,,,,137
TOYOTA,RAV4,"A10, A11",1994 to 2000,,,2135,,,,137
TOYOTA,RAV4,"A20, A21, 2.0L, Petrol",2000 to 2003,,,2135,,,,137
TOYOTA,RAV4,"A22, 2.4L, Petrol",2003 to 2006,,,2543,,,,137
TOYOTA,RAV4,"A23, 2.4L, Petrol",2003 to 2006,,,2544,4032,4032 is alternate fitment option.,,137
TOYOTA,RAV4,"A33, 4WD",2006 to 2013,,,2544,4032,4032 is alternate fitment option.,,137
TOYOTA,RAV4,"A33, V6, Petrol",2006 to 2013,,4504,,5582,,,137
TOYOTA,RAV4,"A38, 2.4L 4 cyl, 2WD, Petrol",2006 to 2013,,,2544,4032,4032 is alternate fitment option.,,137
TOYOTA,RAV4,"A40 series, Diesel",2013 to 2018,,4704,,5594,,,137
TOYOTA,RAV4,"A40 series, Petrol",2013 to 2018,,,2544,4032,4032 is alternate fitment option.,,137
TOYOTA,RAV4,"AXAA, 2.5L, Edge, Petrol",2018 onward,,3554,,,,,137
TOYOTA,RAV4,"AXAH, Hybrid",2018 onward,,5344,,,"5344 is Auxiliary battery. CAUTION - refer to MasterFit before Jump Starting.",,137
--- page 137 row count: 25 (photo verified top-to-bottom) ---

=== PAGE 136 ===
TOYOTA,LANDCRUISER PRADO,"Prado, J95, 2.7L, 4 Cyl, Petrol",1996 to 2002,,,2544,4032,4032 is alternate fitment option.,,136
TOYOTA,LANDCRUISER PRADO,"Prado, J95, 3.0L, Diesel",1996 to 2002,,4704,,5594,,,136
TOYOTA,LANDCRUISER PRADO,"Prado, J95, 3.4L, V6, Petrol",1996 to 2002,,,2544,4032,4032 is alternate fitment option.,,136
TOYOTA,LANDCRUISER PRADO,Prado J120 Diesel,2002 to 2009,,4704,,5594,,,136
TOYOTA,LANDCRUISER PRADO,Prado J120 Petrol,2002 to 2009,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,J150 Diesel,2009 to 2011,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,J150 Kakadu Diesel,2009 to 2011,,4704,,5594,,,136
TOYOTA,LANDCRUISER PRADO,"J155, 2 Door, Diesel",2009 to 2011,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,Prado J150 Kakadu Petrol,2009 to 2011,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,Prado J150 Petrol,2009 to 2011,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,"J155 upgrade, 2 Door, Diesel",2011 onward,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,"Prado J150 Upgrade, Diesel, 2.8L",2011 onward,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,"Prado J150 Upgrade, Diesel, 3.0L",2011 onward,,4704,,5594,,,136
TOYOTA,LANDCRUISER PRADO,"Prado J150 Upgrade, Kakadu Diesel, 3.0L",2011 onward,,4704,,5594,,,136
TOYOTA,LANDCRUISER PRADO,"Prado J150 Upgrade, Kakadu Petrol",2011 onward,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,"Prado J150 Upgrade, Petrol",2011 onward,,4504,,5582,,,136
TOYOTA,LANDCRUISER PRADO,"Prado J150, Kakadu, Diesel, 2.8L",2011 onward,,4504,,5582,,,136
TOYOTA,LEXCEN,All variants,1989 to 1997,,2501,2541,,,,136
--- page 136 row count: 18 (photo verified top-to-bottom) ---

=== PAGE 135 ===
TOYOTA,LANDCRUISER,"40 Series, 3.9L Petrol",1960 to 1984,,4704,,5594,,,135
TOYOTA,LANDCRUISER,"40 Series, 4.0L Diesel",1960 to 1984,,4704,,5594,,,135
TOYOTA,LANDCRUISER,"40 Series, 4.2L Petrol",1960 to 1984,,4704,,5594,,,135
TOYOTA,LANDCRUISER,"40 Series, Petrol",1960 to 1984,,4704,,5594,,,135
TOYOTA,LANDCRUISER,"60 Series, Diesel",1985 to 1991,,4704,,5594,,,135
TOYOTA,LANDCRUISER,"60 Series, Petrol",1985 to 1991,,4703,,5593,,,135
TOYOTA,LANDCRUISER,70 Series 5cyl Diesel,1985 to 1991,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"70 Series, 3.4L Diesel",1985 to 1991,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"70 Series, 4.0L Diesel",1985 to 1991,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"70 Series, 4.0L Petrol",1985 to 1991,,4703,,5593,,,135
TOYOTA,LANDCRUISER,70 Series 4.2L Diesel,1990 to 1999,,4703,,5593,,,135
TOYOTA,LANDCRUISER,70 Series 4.5L EFI Petrol,1990 to 1999,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"80 Series, 4.0L Petrol",1990 to 1999,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"80 Series, 4.5L Petrol",1990 to 1999,,4704,,5594,,,135
TOYOTA,LANDCRUISER,"80 Series, Diesel",1990 to 1999,,4704,,5594,,,135
TOYOTA,LANDCRUISER,"100 Series, 4.2L, Diesel",1998 to 2007,,4703 4704,,5593 5594,Requires 2 batteries (4703 and 4704).,,135
TOYOTA,LANDCRUISER,"100 Series, 4.7L V8 Petrol",1998 to 2007,,4504,,5582,,,135
TOYOTA,LANDCRUISER,"105 Series, 4.2L, Diesel",1998 to 2007,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"105 Series, 4.5L 6cyl Petrol",1998 to 2007,,4503,,,,,135
TOYOTA,LANDCRUISER,70 Series 4.2L Diesel,1998 to 2007,,4703,,5593,,,135
TOYOTA,LANDCRUISER,70 Series 4.5L MPFI Petrol,1998 to 2007,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"200 Series, 4.6L Petrol",2007 to 2020,,4704,,5594,,,135
TOYOTA,LANDCRUISER,"200 Series, 4.7L Petrol",2007 to 2020,,4703 4704,,5593 5594,Some variants require 2 batteries (4703 and 4704).,,135
TOYOTA,LANDCRUISER,"200 Series, 4500 V8, Diesel",2007 to 2020,,4503 4504/4704,,,Requires 2 batteries - (4503 and 4504). 2017 onward requires 1 x 4704.,,135
TOYOTA,LANDCRUISER,"70 Series, 4.5L V8 Diesel",2007 to 2020,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"70 Series, 4.5L V8 Diesel",2020 onward,,4703,,5593,,,135
TOYOTA,LANDCRUISER,"J300 series, Twin Turbo, V6 Diesel",2020 onward,,,3772,,,,135
--- page 135 row count: 27 (photo verified top-to-bottom; note p134 tail row visible above binding: LANDCRUISER 40 Series 3.0L/3.4L/3.6L Diesel 1960-1984 = 4704/5594) ---

=== PAGE 134 ===
TOYOTA,HILUX,"N80, N90, N100, N110 Series 2.8L Diesel",1988 to 1997,,4503,,,,,134
TOYOTA,HILUX,"N140, N150, N160, N170 Series 2.0L Petrol",1997 to 2005,,,2138,,,,134
TOYOTA,HILUX,"N140, N150, N160, N170 Series 2.7L Petrol",1997 to 2005,,,2544,4032,4032 is alternate fitment option.,,134
TOYOTA,HILUX,"N140, N150, N160, N170 Series 3.0L Diesel",1997 to 2005,,4503,,5582,Some variants require 2 batteries.,,134
TOYOTA,HILUX,"N140, N150, N160, N170 Series V6 Petrol",1997 to 2005,,,2544,4032,4032 is alternate fitment option.,,134
TOYOTA,HILUX,"N10, N20 Series Diesel",2005 to 2015,,4704,,5594,,,134
TOYOTA,HILUX,"N10, N20 Series Petrol, SR",2005 to 2015,,4504,,5582,,,134
TOYOTA,HILUX,"N10, N20 Series Petrol, Workmate",2005 to 2015,,,2544,4032,4032 is alternate fitment option.,,134
TOYOTA,HILUX,"N120, N130 Series Diesel",2015 to 2019,,3664,,5536,,,134
TOYOTA,HILUX,"N120, N130 Series Petrol, SR",2015 to 2019,,3664,,5536,,,134
TOYOTA,HILUX,"N120, N130 Series Petrol, Workmate",2015 to 2019,,3554,,5526,,,134
TOYOTA,HILUX,"N120, N130 Facelift, SR, Diesel",2020 onward,,3664,,5536,,,134
TOYOTA,KLUGER,MCU28R,2003 to 2007,,4504,,5582,,,134
TOYOTA,KLUGER,GSU40R,2007 to 2014,,4504,,5582,,,134
TOYOTA,KLUGER,GSU45R,2007 to 2014,,4504,,5582,,,134
TOYOTA,KLUGER,"GSU50R, V6, Petrol",2014 to 2018,,4504,,5582,,,134
TOYOTA,KLUGER,"GSU55R, V6, Petrol",2014 to 2018,,4504,,5582,,,134
TOYOTA,KLUGER,"Hybrid, 2.5L, Petrol",2020 onward,,3554,,,,,134
TOYOTA,KLUGER,"V6, 3.5L, Petrol",2020 onward,,,,4036,,,134
TOYOTA,LANDCRUISER,"40 Series, 3.0L, 3.4L, 3.6L Diesel",1960 to 1984,,4704,,5594,,,134
--- page 134 row count: 20 (photo verified top-to-bottom) ---

=== PAGE 133 ===
TOYOTA,CORONA,All variants,1984 to 1987,,,2382,,,,133
TOYOTA,CRESSIDA,All variants,1977 to 1983,,,2134,,,,133
TOYOTA,CRESSIDA,All variants,1983 to 1992,,,2544,4032,4032 is alternate fitment option.,,133
TOYOTA,CROWN,All variants,1963 to 1973,,,2134,,,,133
TOYOTA,CROWN,All variants,1974 to 1988,,2501,2541,,,,133
TOYOTA,DYNA,Diesel,1985 to 1995,,4703,,5593,,,133
TOYOTA,DYNA,Petrol,1985 to 1995,,,2543,,,,133
TOYOTA,DYNA,Diesel,1995 to 2005,,4703,,5593,,,133
TOYOTA,DYNA,Petrol,1995 to 2005,,,2543,,,,133
TOYOTA,ECHO,All variants,1999 to 2005,,,2135,,,,133
TOYOTA,FJ CRUISER,All variants,2011 onward,,4504,,5582,,,133
TOYOTA,FORTUNER,"156R, Diesel",2015 onward,,3664,,5536,,,133
TOYOTA,HIACE,All variants,1967 to 1977,,,2383,,,,133
TOYOTA,HIACE,Diesel,1977 to 1982,,4703,,5593,,,133
TOYOTA,HIACE,Petrol,1977 to 1982,,,2543,,,,133
TOYOTA,HIACE,Diesel,1983 to 1989,,4703,,5593,,,133
TOYOTA,HIACE,Petrol,1983 to 1989,,,2543,,,,133
TOYOTA,HIACE,Diesel,1989 to 2005,,4703,,5593,,,133
TOYOTA,HIACE,Petrol,1989 to 2005,,,2543,,,,133
TOYOTA,HIACE,Diesel,2005 to 2019,,4503 4703,,5593,"Some fit 4503, some fit 4703.",,133
TOYOTA,HIACE,Petrol,2005 to 2019,,,2543,,,,133
TOYOTA,HIACE,Diesel,2019 onward,,,,4044,Stop Start. Must use EFB.,,133
TOYOTA,HIACE,"Petrol, V6",2019 onward,,3664,,,,,133
TOYOTA,HILUX,"N50, N60, N70 Series Diesel",1983 to 1988,,,2543,,,,133
TOYOTA,HILUX,"N50, N60, N70 Series Petrol",1983 to 1988,,,2543,,,,133
TOYOTA,HILUX,"N80, N90, N100, N110 Series 1.8L Petrol",1988 to 1997,,,2383,,,,133
TOYOTA,HILUX,"N80, N90, N100, N110 Series 2.4L Petrol",1988 to 1997,,,2543,,,,133
--- page 133 row count: 27 (photo verified top-to-bottom) ---

=== PAGE 132 ===
TOYOTA,COROLLA before 2007,KE,1966 to 1985,,,2136,,,,132
TOYOTA,COROLLA before 2007,"AE80, AE82",1984 to 1989,,,2382,,,,132
TOYOTA,COROLLA before 2007,"AE90, AE92, AE93, AE94, AE95",1988 to 1995,,,2134 2382,,,,132
TOYOTA,COROLLA before 2007,"AE101, AE102",1994 to 1999,,,2134,,Top hold down bracket prevents higher battery from fitting.,,132
TOYOTA,COROLLA before 2007,AE112R,1998 to 2001,,,2382 2384,,,,132
TOYOTA,COROLLA before 2007,"ZZE122R, ZZE123R",2001 to 2007,,,2382,,,,132
TOYOTA,COROLLA HATCH,"ZRE152R, Hatch",2007 to 2012,,,2136,,,,132
TOYOTA,COROLLA HATCH,"ZRE182R, Petrol",2012 to 2017,,,2544,4032,4032 is alternate fitment option.,,132
TOYOTA,COROLLA HATCH,"ZWE186R, Hybrid",2012 to 2017,,,,,Unique battery. Refer to OEM dealer.,,132
TOYOTA,COROLLA HATCH,"MZEA12R, 2.0L, Petrol",2018 onward,,3554,,,,,132
TOYOTA,COROLLA HATCH,"ZWE211R, 1.8L, Hybrid",2018 onward,,5344,,,,,132
TOYOTA,COROLLA SEDAN,"ZRE152R, Sedan",2007 to 2014,,,2136,,,,132
TOYOTA,COROLLA SEDAN,"ZRE153R, Ultima, Sedan",2007 to 2014,,,2136,,,,132
TOYOTA,COROLLA SEDAN,"ZRE172R, 1.8L, Petrol",2014 to 2017,,,2136,,,,132
TOYOTA,COROLLA SEDAN,"MZEA12R, 2.0L, Petrol",2019 onward,,3554,,,,,132
TOYOTA,COROLLA SEDAN,"ZWE211R, 1.8L, Hybrid",2019 onward,,5344,,,,,132
TOYOTA,CORONA,All variants,1964 to 1983,,,2134,,,,132
--- page 132 row count: 17 (photo verified top-to-bottom) ---

=== PAGE 131 ===
TOYOTA,CAMRY,"V20, V6 engine",1986 to 1993,,,2382,,,,131
TOYOTA,CAMRY,XV10 Wide body,1991 to 1997,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,"XV10, V6 engine",1991 to 1997,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,"XV20, 4cyl",1996 to 2002,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,"XV20, V6",1996 to 2002,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,"XV30, 4cyl",2001 to 2006,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,"XV30, V6",2001 to 2006,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,ACV40R,2006 to 2011,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,AHV40R Hybrid,2006 to 2011,,4503,,,Must use Club Assist Temperature Sensor Bracket.,,131
TOYOTA,CAMRY,ASV50R,2011 to 2015,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,"AVV50R, Hybrid",2011 to 2015,,,2543,,Must use Club Assist Temperature Sensor Bracket.,,131
TOYOTA,CAMRY,ASV50R,2015 to 2017,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CAMRY,"AVV50R upgrade, Hybrid",2015 to 2017,,,2543,,No temperature sensor on this variant.,,131
TOYOTA,CAMRY,"ASV70R, 4cyl, 2.5L",2017 onward,,3554,,,,,131
TOYOTA,CAMRY,"AXVH71, HYBRID",2017 onward,,3554,,,,,131
TOYOTA,CAMRY,"GSV70R, V6, 3.5L",2017 onward,,3554,,,,,131
TOYOTA,CELICA,"A23, A30",1970 to 1977,,,2136,,,,131
TOYOTA,CELICA,"A40, A50",1977 to 1981,,,2136,,,,131
TOYOTA,CELICA,"A60, A65, A63",1981 to 1985,,,2382,,,,131
TOYOTA,CELICA,"T160, T162",1985 to 1989,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CELICA,T180,1990 to 1994,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CELICA,T200,1994 to 1999,,,2544,4032,4032 is alternate fitment option.,,131
TOYOTA,CELICA,T230,2000 to 2006,,,2136,,,,131
TOYOTA,C-HR,All variants,2017 onward,,3554,,,,,131
TOYOTA,COASTER,All variants,1990 onward,,4503 4504/5375,,,some fits 4503 some fits 5375.,,131
TOYOTA,COROLLA before 2007,AE71,1966 to 1985,,,2136,,,,131
TOYOTA,COROLLA before 2007,All variants,1966 to 1985,,,2136,,,,131
--- page 131 row count: 27 (photo verified top-to-bottom; p130 tail row visible above binding: CAMRY V20 1986-1993 = premium 2382) ---

=== PAGE 130 ===
SUZUKI,VITARA,V6,1995 to 2000,,,2136,,Check bonnet clearance.,,130
SUZUKI,VITARA,LY,2015 to 2018,,3372 5344,,,,,130
SUZUKI,VITARA,"LY, Series II",2019 onward,,3372 5344,,,,,130
SUZUKI,X-90,All variants,1996 to 1998,,,2384,,,,130
SUZUKI,XL-7,All variants,2001 to 2006,,,2544,,,,130
TATA,SAFARI,All variants,2000 to 2001,,4703,,5593,,,130
TATA,TELCOLINE,All variants,1996 to 2005,,4703,,5593,,,130
TATA,XENON,All variants,2009 onward,,4704,,5594,,,130
TESLA,MODEL S,All variants,2014 onward,,,,,Refer to OEM Dealer.,,130
TOYOTA,86,All variants,2012 onward,,,2543,,,,130
TOYOTA,4 RUNNER,Diesel,1984 to 1989,,4503,,,Pickup body with cover.,,130
TOYOTA,4 RUNNER,Petrol,1984 to 1989,,,2384,,Pickup body with cover.,,130
TOYOTA,4 RUNNER,"2.4L, Petrol",1989 to 1996,,,2543,,Full body.,,130
TOYOTA,4 RUNNER,"3.0L, V6, Petrol",1989 to 1996,,4503,,,Full body.,,130
TOYOTA,4 RUNNER,Diesel,1989 to 1996,,4503,,,Full body.,,130
TOYOTA,AURION,XV40,2006 to 2012,,,2544,4032,4032 is alternate fitment option.,,130
TOYOTA,AURION,XV50,2012 onward,,,2544,4032,4032 is alternate fitment option.,,130
TOYOTA,AVALON,All variants,2000 to 2006,,,2544,4032,4032 is alternate fitment option.,,130
TOYOTA,AVENSIS,2.0L,1998 to 2003,,,2136,,,,130
TOYOTA,AVENSIS,2.4L,2003 to 2010,,,2544,4032,4032 is alternate fitment option.,,130
TOYOTA,BLIZZARD,All variants,1982 to 1983,,,3882,,,,130
TOYOTA,BUNDERA,Diesel,1985 to 1991,,4703,,5593,,,130
TOYOTA,BUNDERA,Petrol,1985 to 1991,,4503,,,,,130
TOYOTA,CAMRY,V10,1982 to 1987,,,2134,,,,130
TOYOTA,CAMRY,V20,1986 to 1993,,,2382,,,,130
--- page 130 row count: 25 (photo verified; NOTE print quirk: the TATA section band is printed ABOVE the final Suzuki rows (Vitara/X-90/XL-7) — those are transcribed as SUZUKI; Tata models are Safari/Telcoline/Xenon) ---

=== PAGE 129 ===
SUZUKI,HATCH,All variants,1980 to 1985,,,2383,,,,129
SUZUKI,IGNIS,All variants,2000 to 2005,,,2384,,,,129
SUZUKI,IGNIS,All variants,2016 onward,,,2138,,,,129
SUZUKI,JIMNY,"JX, JLX, Sport",1998 to 2008,,,2383,,,,129
SUZUKI,JIMNY,Sierra,2008 to 2014,,,2383,,,,129
SUZUKI,JIMNY,All variants,2015 to 2018,,,2383,,,,129
SUZUKI,JIMNY,GJ,2018 onward,,,2138,,,,129
SUZUKI,KIZASHI,All variants,2010 onward,,4504,,4032,"2544 will not fit due to ledges, 4032 has no ledges, 4504 fits tray.",,129
SUZUKI,LIANA,All variants,2001 to 2007,,,2138,,,,129
SUZUKI,LJ50,All variants,1974 to 1978,,,2383,,,,129
SUZUKI,LJ80,All variants,1977 to 1981,,,2383,,,,129
SUZUKI,LJ81K,All variants,1978 to 1981,,,2383,,,,129
SUZUKI,MIGHTY BOY,All variants,1985 to 1988,,,2382,,,,129
SUZUKI,R+,All variants,1997 to 1998,,,2134,,,,129
SUZUKI,S-CROSS,JY,2014 onward,,3372,,,,,129
SUZUKI,SIERRA,All variants,1981 to 2000,,,2383,,,,129
SUZUKI,SK410,Truck,1985 to 1988,,,2383,,,,129
SUZUKI,ST105,All variants,1975 to 1976,,,2383,,,,129
SUZUKI,ST20K,All variants,1977 to 1978,,,2383,,,,129
SUZUKI,ST80K,All variants,1978 to 1979,,,2383,,,,129
SUZUKI,ST90V,All variants,1983 to 1985,,,2383,,,,129
